Year,Attribute,Value
1970,Crops output: Oil crops,0.303628628
1970,Crops output: Vegetables and melons,0.59118513
1970,Crops output: Fruits and nuts,0.443113373
1970,Crops output: Other crops 2/,0.438090725
1970,Farm-related output 3/,0.243656136
1970,Farm inputs: Total ,0.985055545
1970,Capital inputs: Total,1.224789587
1970,Capital inputs: Durable equipment,0.966592078
1970,Capital inputs: Service buildings,1.422586978
1970,Capital inputs: Land,1.197458004
1970,Capital inputs: Inventories,1.036855793
1970,Labor inputs: Total,1.759648765
1970,Labor inputs: Hired labor,1.473463661
1970,Labor inputs: Self-employed and unpaid family,1.930012621
1970,Intermediate inputs: Total,0.674503038
1970,Intermediate inputs: Feed and seed,0.747360534
1970,Intermediate inputs: Energy,1.443406474
1970,Intermediate inputs: Fertilizer and lime,0.691093118
1970,Intermediate inputs: Pesticides,0.134900759
1970,Intermediate inputs: Purchased services,0.551456499
1970,Intermediate inputs: Other intermediate,0.361681191
1970,Total factor productivity (TFP),0.501793282
1971,Total agricultural output,0.527817431
1971,Livestock and products output: Total 1/,0.634219746
1971,Livestock and products output: Meat animals,0.912893722
1971,Livestock and products output: Dairy,0.551990385
1971,Livestock and products output: Poultry and eggs,0.31790083
1971,Crops output: Total,0.499927524
1971,Crops output: Food grains,0.697066507
1971,Crops output: Feed crops,0.631703248
1971,Crops output: Oil crops,0.3343331
1971,Crops output: Vegetables and melons,0.602654999
1971,Crops output: Fruits and nuts,0.464087807
1971,Crops output: Other crops 2/,0.42762582
1971,Farm-related output 3/,0.248240881
1971,Farm inputs: Total ,0.975396097
1971,Capital inputs: Total,1.217478052
1971,Capital inputs: Durable equipment,0.975984133
1971,Capital inputs: Service buildings,1.451875878
1971,Capital inputs: Land,1.177335547
1971,Capital inputs: Inventories,1.018502126
1971,Labor inputs: Total,1.731711787
1971,Labor inputs: Hired labor,1.456993338
1971,Labor inputs: Self-employed and unpaid family,1.895147001
1971,Intermediate inputs: Total,0.668198806
1971,Intermediate inputs: Feed and seed,0.729935717
1971,Intermediate inputs: Energy,1.414387706
1971,Intermediate inputs: Fertilizer and lime,0.682021995
1971,Intermediate inputs: Pesticides,0.149489144
1971,Intermediate inputs: Purchased services,0.557243479
1971,Intermediate inputs: Other intermediate,0.371497702
1971,Total factor productivity (TFP),0.541131374
1972,Total agricultural output,0.530060069
1972,Livestock and products output: Total 1/,0.636908741
1972,Livestock and products output: Meat animals,0.903104505
1972,Livestock and products output: Dairy,0.560033654
1972,Livestock and products output: Poultry and eggs,0.326268908
1972,Crops output: Total,0.502385544
1972,Crops output: Food grains,0.666303167
1972,Crops output: Feed crops,0.615982437
1972,Crops output: Oil crops,0.34145643
1972,Crops output: Vegetables and melons,0.611724446
1972,Crops output: Fruits and nuts,0.419579223
1972,Crops output: Other crops 2/,0.488676781
1972,Farm-related output 3/,0.2451213
1972,Farm inputs: Total ,0.982865264
1972,Capital inputs: Total,1.210806056
1972,Capital inputs: Durable equipment,0.979250247
1972,Capital inputs: Service buildings,1.477066943
1972,Capital inputs: Land,1.159744258
1972,Capital inputs: Inventories,1.077732824
1972,Labor inputs: Total,1.724012478
1972,Labor inputs: Hired labor,1.451086469
1972,Labor inputs: Self-employed and unpaid family,1.886373401
1972,Intermediate inputs: Total,0.683677199
1972,Intermediate inputs: Feed and seed,0.752929106
1972,Intermediate inputs: Energy,1.400225661
1972,Intermediate inputs: Fertilizer and lime,0.668024225
1972,Intermediate inputs: Pesticides,0.179982719
1972,Intermediate inputs: Purchased services,0.556974161
1972,Intermediate inputs: Other intermediate,0.379261742
1972,Total factor productivity (TFP),0.539300847
1973,Total agricultural output,0.554641528
1973,Livestock and products output: Total 1/,0.648747659
1973,Livestock and products output: Meat animals,0.947730305
1973,Livestock and products output: Dairy,0.539139423
1973,Livestock and products output: Poultry and eggs,0.316463331
1973,Crops output: Total,0.534122582
1973,Crops output: Food grains,0.734282137
1973,Crops output: Feed crops,0.636004833
1973,Crops output: Oil crops,0.40710176
1973,Crops output: Vegetables and melons,0.607390192
1973,Crops output: Fruits and nuts,0.505705138
1973,Crops output: Other crops 2/,0.487478451
1973,Farm-related output 3/,0.291369337
1973,Farm inputs: Total ,1.003959352
1973,Capital inputs: Total,1.20749267
1973,Capital inputs: Durable equipment,0.996884642
1973,Capital inputs: Service buildings,1.491630079
1973,Capital inputs: Land,1.146774683
1973,Capital inputs: Inventories,1.096852109
1973,Labor inputs: Total,1.708919827
1973,Labor inputs: Hired labor,1.472525371
1973,Labor inputs: Self-employed and unpaid family,1.849077593
1973,Intermediate inputs: Total,0.722108917
1973,Intermediate inputs: Feed and seed,0.759684059
1973,Intermediate inputs: Energy,1.416792834
1973,Intermediate inputs: Fertilizer and lime,0.993393691
1973,Intermediate inputs: Pesticides,0.177895585
1973,Intermediate inputs: Purchased services,0.596228369
1973,Intermediate inputs: Other intermediate,0.411102164
1973,Total factor productivity (TFP),0.552454167
1974,Total agricultural output,0.525065036
1974,Livestock and products output: Total 1/,0.652345929
1974,Livestock and products output: Meat animals,0.951264499
1974,Livestock and products output: Dairy,0.5403125
1974,Livestock and products output: Poultry and eggs,0.319010635
1974,Crops output: Total,0.484904853
1974,Crops output: Food grains,0.779728772
1974,Crops output: Feed crops,0.54445327
1974,Crops output: Oil crops,0.328108976
1974,Crops output: Vegetables and melons,0.604665595
1974,Crops output: Fruits and nuts,0.518158016
1974,Crops output: Other crops 2/,0.467688111
1974,Farm-related output 3/,0.302667343
1974,Farm inputs: Total ,0.994327508
1974,Capital inputs: Total,1.216728548
1974,Capital inputs: Durable equipment,1.051736577
1974,Capital inputs: Service buildings,1.523138263
1974,Capital inputs: Land,1.140446524
1974,Capital inputs: Inventories,1.141309843
1974,Labor inputs: Total,1.704178244
1974,Labor inputs: Hired labor,1.567239133
1974,Labor inputs: Self-employed and unpaid family,1.783800081
1974,Intermediate inputs: Total,0.703468769
1974,Intermediate inputs: Feed and seed,0.755064976
1974,Intermediate inputs: Energy,1.352202149
1974,Intermediate inputs: Fertilizer and lime,0.801104945
1974,Intermediate inputs: Pesticides,0.157149605
1974,Intermediate inputs: Purchased services,0.602991357
1974,Intermediate inputs: Other intermediate,0.511244057
1974,Total factor productivity (TFP),0.528060455
1975,Total agricultural output,0.568823311
1975,Livestock and products output: Total 1/,0.629512402
1975,Livestock and products output: Meat animals,0.894678367
1975,Livestock and products output: Dairy,0.540081731
1975,Livestock and products output: Poultry and eggs,0.311208427
1975,Crops output: Total,0.554838378
1975,Crops output: Food grains,0.924321883
1975,Crops output: Feed crops,0.631072272
1975,Crops output: Oil crops,0.400706165
1975,Crops output: Vegetables and melons,0.643148349
1975,Crops output: Fruits and nuts,0.555218235
1975,Crops output: Other crops 2/,0.498588458
1975,Farm-related output 3/,0.447187175
1975,Farm inputs: Total ,0.981437318
1975,Capital inputs: Total,1.232727859
1975,Capital inputs: Durable equipment,1.094743045
1975,Capital inputs: Service buildings,1.563696343
1975,Capital inputs: Land,1.141658098
1975,Capital inputs: Inventories,1.103065996
1975,Labor inputs: Total,1.673020663
1975,Labor inputs: Hired labor,1.591743807
1975,Labor inputs: Self-employed and unpaid family,1.718822092
1975,Intermediate inputs: Total,0.683603517
1975,Intermediate inputs: Feed and seed,0.714981148
1975,Intermediate inputs: Energy,1.593760102
1975,Intermediate inputs: Fertilizer and lime,0.722506747
1975,Intermediate inputs: Pesticides,0.156244305
1975,Intermediate inputs: Purchased services,0.624714726
1975,Intermediate inputs: Other intermediate,0.492112755
1975,Total factor productivity (TFP),0.579581906
1976,Total agricultural output,0.571456088
1976,Livestock and products output: Total 1/,0.650317097
1976,Livestock and products output: Meat animals,0.915497597
1976,Livestock and products output: Dairy,0.5635625
1976,Livestock and products output: Poultry and eggs,0.332797337
1976,Crops output: Total,0.550965476
1976,Crops output: Food grains,0.919350174
1976,Crops output: Feed crops,0.63730043
1976,Crops output: Oil crops,0.342426011
1976,Crops output: Vegetables and melons,0.662139861
1976,Crops output: Fruits and nuts,0.537344138
1976,Crops output: Other crops 2/,0.530104593
1976,Farm-related output 3/,0.402705513
1976,Farm inputs: Total ,1.01619933
1976,Capital inputs: Total,1.24553919
1976,Capital inputs: Durable equipment,1.122365373
1976,Capital inputs: Service buildings,1.577964329
1976,Capital inputs: Land,1.147237169
1976,Capital inputs: Inventories,1.173773514
1976,Labor inputs: Total,1.64885248
1976,Labor inputs: Hired labor,1.609562678
1976,Labor inputs: Self-employed and unpaid family,1.669141866
1976,Intermediate inputs: Total,0.730856794
1976,Intermediate inputs: Feed and seed,0.748558867
1976,Intermediate inputs: Energy,1.795158819
1976,Intermediate inputs: Fertilizer and lime,0.842182593
1976,Intermediate inputs: Pesticides,0.185322893
1976,Intermediate inputs: Purchased services,0.654346325
1976,Intermediate inputs: Other intermediate,0.451094977
1976,Total factor productivity (TFP),0.562346452
1977,Total agricultural output,0.598362268
1977,Livestock and products output: Total 1/,0.64488512
1977,Livestock and products output: Meat animals,0.874273099
1977,Livestock and products output: Dairy,0.576110577
1977,Livestock and products output: Poultry and eggs,0.340934986
1977,Crops output: Total,0.597732528
1977,Crops output: Food grains,0.862059086
1977,Crops output: Feed crops,0.678639622
1977,Crops output: Oil crops,0.464627792
1977,Crops output: Vegetables and melons,0.68032609
1977,Crops output: Fruits and nuts,0.56883076
1977,Crops output: Other crops 2/,0.559067872
1977,Farm-related output 3/,0.40788609
1977,Farm inputs: Total ,0.996368714
1977,Capital inputs: Total,1.260881607
1977,Capital inputs: Durable equipment,1.159091956
1977,Capital inputs: Service buildings,1.602920514
1977,Capital inputs: Land,1.153122938
1977,Capital inputs: Inventories,1.145740532
1977,Labor inputs: Total,1.604298603
1977,Labor inputs: Hired labor,1.570110755
1977,Labor inputs: Self-employed and unpaid family,1.621579187
1977,Intermediate inputs: Total,0.70564986
1977,Intermediate inputs: Feed and seed,0.717883908
1977,Intermediate inputs: Energy,1.885103708
1977,Intermediate inputs: Fertilizer and lime,0.727246713
1977,Intermediate inputs: Pesticides,0.159479444
1977,Intermediate inputs: Purchased services,0.673659988
1977,Intermediate inputs: Other intermediate,0.447803028
1977,Total factor productivity (TFP),0.600543011
1978,Total agricultural output,0.605998972
1978,Livestock and products output: Total 1/,0.636889924
1978,Livestock and products output: Meat animals,0.847059747
1978,Livestock and products output: Dairy,0.571129808
1978,Livestock and products output: Poultry and eggs,0.356091143
1978,Crops output: Total,0.613457392
1978,Crops output: Food grains,0.80648163
1978,Crops output: Feed crops,0.728965833
1978,Crops output: Oil crops,0.490594447
1978,Crops output: Vegetables and melons,0.710534684
1978,Crops output: Fruits and nuts,0.563893353
1978,Crops output: Other crops 2/,0.528027941
1978,Farm-related output 3/,0.43448752
1978,Farm inputs: Total ,1.067149156
1978,Capital inputs: Total,1.274078796
1978,Capital inputs: Durable equipment,1.189108471
1978,Capital inputs: Service buildings,1.630774607
1978,Capital inputs: Land,1.155254056
1978,Capital inputs: Inventories,1.193765742
1978,Labor inputs: Total,1.577467481
1978,Labor inputs: Hired labor,1.476362797
1978,Labor inputs: Self-employed and unpaid family,1.635561152
1978,Intermediate inputs: Total,0.806586876
1978,Intermediate inputs: Feed and seed,0.820404477
1978,Intermediate inputs: Energy,1.97878409
1978,Intermediate inputs: Fertilizer and lime,0.739875294
1978,Intermediate inputs: Pesticides,0.193365543
1978,Intermediate inputs: Purchased services,0.813262071
1978,Intermediate inputs: Other intermediate,0.697541314
1978,Total factor productivity (TFP),0.567867171
1979,Total agricultural output,0.642434764
1979,Livestock and products output: Total 1/,0.645690263
1979,Livestock and products output: Meat animals,0.84084608
1979,Livestock and products output: Dairy,0.581100962
1979,Livestock and products output: Poultry and eggs,0.3847438
1979,Crops output: Total,0.672200085
1979,Crops output: Food grains,0.940523801
1979,Crops output: Feed crops,0.767737247
1979,Crops output: Oil crops,0.596351663
1979,Crops output: Vegetables and melons,0.741839423
1979,Crops output: Fruits and nuts,0.604521366
1979,Crops output: Other crops 2/,0.560681338
1979,Farm-related output 3/,0.438687213
1979,Farm inputs: Total ,1.102382556
1979,Capital inputs: Total,1.278709208
1979,Capital inputs: Durable equipment,1.231516028
1979,Capital inputs: Service buildings,1.567766353
1979,Capital inputs: Land,1.150859944
1979,Capital inputs: Inventories,1.209921604
1979,Labor inputs: Total,1.603240509
1979,Labor inputs: Hired labor,1.532025823
1979,Labor inputs: Self-employed and unpaid family,1.643074266
1979,Intermediate inputs: Total,0.852135462
1979,Intermediate inputs: Feed and seed,0.872759353
1979,Intermediate inputs: Energy,1.811193643
1979,Intermediate inputs: Fertilizer and lime,0.786726628
1979,Intermediate inputs: Pesticides,0.243166359
1979,Intermediate inputs: Purchased services,0.855211491
1979,Intermediate inputs: Other intermediate,0.814797409
1979,Total factor productivity (TFP),0.582769348
1980,Total agricultural output,0.621427244
1980,Livestock and products output: Total 1/,0.67651352
1980,Livestock and products output: Meat animals,0.897645817
1980,Livestock and products output: Dairy,0.606091346
1980,Livestock and products output: Poultry and eggs,0.389740991
1980,Crops output: Total,0.611816737
1980,Crops output: Food grains,1.046512764
1980,Crops output: Feed crops,0.657062808
1980,Crops output: Oil crops,0.462052482
1980,Crops output: Vegetables and melons,0.746343882
1980,Crops output: Fruits and nuts,0.658121089
1980,Crops output: Other crops 2/,0.535276049
1980,Farm-related output 3/,0.467847959
1980,Farm inputs: Total ,1.113094005
1980,Capital inputs: Total,1.295232654
1980,Capital inputs: Durable equipment,1.27482726
1980,Capital inputs: Service buildings,1.658649343
1980,Capital inputs: Land,1.141633422
1980,Capital inputs: Inventories,1.279208788
1980,Labor inputs: Total,1.562436087
1980,Labor inputs: Hired labor,1.519712607
1980,Labor inputs: Self-employed and unpaid family,1.585006827
1980,Intermediate inputs: Total,0.867974049
1980,Intermediate inputs: Feed and seed,0.915666099
1980,Intermediate inputs: Energy,1.764694636
1980,Intermediate inputs: Fertilizer and lime,0.966827269
1980,Intermediate inputs: Pesticides,0.237037256
1980,Intermediate inputs: Purchased services,0.782139742
1980,Intermediate inputs: Other intermediate,0.684333986
1980,Total factor productivity (TFP),0.558288197
1981,Total agricultural output,0.676400241
1981,Livestock and products output: Total 1/,0.693531714
1981,Livestock and products output: Meat animals,0.905985946
1981,Livestock and products output: Dairy,0.627245192
1981,Livestock and products output: Poultry and eggs,0.405297776
1981,Crops output: Total,0.698671655
1981,Crops output: Food grains,1.236496975
1981,Crops output: Feed crops,0.780901876
1981,Crops output: Oil crops,0.51352744
1981,Crops output: Vegetables and melons,0.754598511
1981,Crops output: Fruits and nuts,0.644646454
1981,Crops output: Other crops 2/,0.633462829
1981,Farm-related output 3/,0.434603446
1981,Farm inputs: Total ,1.075053725
1981,Capital inputs: Total,1.282491493
1981,Capital inputs: Durable equipment,1.277823513
1981,Capital inputs: Service buildings,1.634656945
1981,Capital inputs: Land,1.130352248
1981,Capital inputs: Inventories,1.202340146
1981,Labor inputs: Total,1.55923689
1981,Labor inputs: Hired labor,1.512844628
1981,Labor inputs: Self-employed and unpaid family,1.584052507
1981,Intermediate inputs: Total,0.820318907
1981,Intermediate inputs: Feed and seed,0.876310815
1981,Intermediate inputs: Energy,1.693672701
1981,Intermediate inputs: Fertilizer and lime,0.837651426
1981,Intermediate inputs: Pesticides,0.263650387
1981,Intermediate inputs: Purchased services,0.733215476
1981,Intermediate inputs: Other intermediate,0.526888502
1981,Total factor productivity (TFP),0.629178082
1982,Total agricultural output,0.686179293
1982,Livestock and products output: Total 1/,0.688077298
1982,Livestock and products output: Meat animals,0.890217211
1982,Livestock and products output: Dairy,0.640115385
1982,Livestock and products output: Poultry and eggs,0.406485437
1982,Crops output: Total,0.706249311
1982,Crops output: Food grains,1.199390312
1982,Crops output: Feed crops,0.798013037
1982,Crops output: Oil crops,0.569299357
1982,Crops output: Vegetables and melons,0.796125206
1982,Crops output: Fruits and nuts,0.642389636
1982,Crops output: Other crops 2/,0.580557457
1982,Farm-related output 3/,0.585829812
1982,Farm inputs: Total ,1.045323237
1982,Capital inputs: Total,1.262899147
1982,Capital inputs: Durable equipment,1.256195875
1982,Capital inputs: Service buildings,1.461506689
1982,Capital inputs: Land,1.119752256
1982,Capital inputs: Inventories,1.287339758
1982,Labor inputs: Total,1.447455997
1982,Labor inputs: Hired labor,1.357570783
1982,Labor inputs: Self-employed and unpaid family,1.499126455
1982,Intermediate inputs: Total,0.802780131
1982,Intermediate inputs: Feed and seed,0.892726847
1982,Intermediate inputs: Energy,1.590994566
1982,Intermediate inputs: Fertilizer and lime,0.62371022
1982,Intermediate inputs: Pesticides,0.24077895
1982,Intermediate inputs: Purchased services,0.763928967
1982,Intermediate inputs: Other intermediate,0.557743097
1982,Total factor productivity (TFP),0.656427857
1983,Total agricultural output,0.589635511
1983,Livestock and products output: Total 1/,0.695665637
1983,Livestock and products output: Meat animals,0.900775994
1983,Livestock and products output: Dairy,0.65975
1983,Livestock and products output: Poultry and eggs,0.409178731
1983,Crops output: Total,0.540389811
1983,Crops output: Food grains,1.016242386
1983,Crops output: Feed crops,0.517713469
1983,Crops output: Oil crops,0.427267635
1983,Crops output: Vegetables and melons,0.78975971
1983,Crops output: Fruits and nuts,0.639743372
1983,Crops output: Other crops 2/,0.490319447
1983,Farm-related output 3/,0.583922361
1983,Farm inputs: Total ,1.041674168
1983,Capital inputs: Total,1.246884508
1983,Capital inputs: Durable equipment,1.200218095
1983,Capital inputs: Service buildings,1.570782591
1983,Capital inputs: Land,1.111864866
1983,Capital inputs: Inventories,1.264484538
1983,Labor inputs: Total,1.428796159
1983,Labor inputs: Hired labor,1.499484247
1983,Labor inputs: Self-employed and unpaid family,1.382037879
1983,Intermediate inputs: Total,0.806046223
1983,Intermediate inputs: Feed and seed,0.904248352
1983,Intermediate inputs: Energy,1.545475598
1983,Intermediate inputs: Fertilizer and lime,0.642212384
1983,Intermediate inputs: Pesticides,0.217809473
1983,Intermediate inputs: Purchased services,0.746005823
1983,Intermediate inputs: Other intermediate,0.762794367
1983,Total factor productivity (TFP),0.566046014
1984,Total agricultural output,0.669777307
1984,Livestock and products output: Total 1/,0.685086073
1984,Livestock and products output: Meat animals,0.886160649
1984,Livestock and products output: Dairy,0.636639423
1984,Livestock and products output: Poultry and eggs,0.419643251
1984,Crops output: Total,0.68381083
1984,Crops output: Food grains,1.125774568
1984,Crops output: Feed crops,0.767500927
1984,Crops output: Oil crops,0.498732217
1984,Crops output: Vegetables and melons,0.811693691
1984,Crops output: Fruits and nuts,0.635743914
1984,Crops output: Other crops 2/,0.618259084
1984,Farm-related output 3/,0.50921247
1984,Farm inputs: Total ,1.007125137
1984,Capital inputs: Total,1.215236784
1984,Capital inputs: Durable equipment,1.144786862
1984,Capital inputs: Service buildings,1.637803854
1984,Capital inputs: Land,1.10614326
1984,Capital inputs: Inventories,1.119652182
1984,Labor inputs: Total,1.386561417
1984,Labor inputs: Hired labor,1.396977455
1984,Labor inputs: Self-employed and unpaid family,1.376968607
1984,Intermediate inputs: Total,0.775335805
1984,Intermediate inputs: Feed and seed,0.810791247
1984,Intermediate inputs: Energy,1.598796128
1984,Intermediate inputs: Fertilizer and lime,0.665859554
1984,Intermediate inputs: Pesticides,0.266888743
1984,Intermediate inputs: Purchased services,0.727771136
1984,Intermediate inputs: Other intermediate,0.902752009
1984,Total factor productivity (TFP),0.665038815
1985,Total agricultural output,0.699434278
1985,Livestock and products output: Total 1/,0.702190785
1985,Livestock and products output: Meat animals,0.872325864
1985,Livestock and products output: Dairy,0.675759615
1985,Livestock and products output: Poultry and eggs,0.43731642
1985,Crops output: Total,0.71735849
1985,Crops output: Food grains,1.055906522
1985,Crops output: Feed crops,0.845484728
1985,Crops output: Oil crops,0.548143409
1985,Crops output: Vegetables and melons,0.857448278
1985,Crops output: Fruits and nuts,0.62678455
1985,Crops output: Other crops 2/,0.612721593
1985,Farm-related output 3/,0.582117016
1985,Farm inputs: Total ,0.980805506
1985,Capital inputs: Total,1.19848612
1985,Capital inputs: Durable equipment,1.088176955
1985,Capital inputs: Service buildings,1.648237814
1985,Capital inputs: Land,1.10143655
1985,Capital inputs: Inventories,1.203907037
1985,Labor inputs: Total,1.280784163
1985,Labor inputs: Hired labor,1.266017292
1985,Labor inputs: Self-employed and unpaid family,1.286982255
1985,Intermediate inputs: Total,0.760550411
1985,Intermediate inputs: Feed and seed,0.821331076
1985,Intermediate inputs: Energy,1.435320486
1985,Intermediate inputs: Fertilizer and lime,0.699143965
1985,Intermediate inputs: Pesticides,0.251155873
1985,Intermediate inputs: Purchased services,0.725025317
1985,Intermediate inputs: Other intermediate,0.57126196
1985,Total factor productivity (TFP),0.7131223
1986,Total agricultural output,0.672309419
1986,Livestock and products output: Total 1/,0.702944848
1986,Livestock and products output: Meat animals,0.876064581
1986,Livestock and products output: Dairy,0.676610577
1986,Livestock and products output: Poultry and eggs,0.454872885
1986,Crops output: Total,0.673478184
1986,Crops output: Food grains,0.926406995
1986,Crops output: Feed crops,0.802051901
1986,Crops output: Oil crops,0.502284477
1986,Crops output: Vegetables and melons,0.885396669
1986,Crops output: Fruits and nuts,0.605411704
1986,Crops output: Other crops 2/,0.560234852
1986,Farm-related output 3/,0.543187351
1986,Farm inputs: Total ,0.983797662
1986,Capital inputs: Total,1.152591541
1986,Capital inputs: Durable equipment,1.014575465
1986,Capital inputs: Service buildings,1.571049301
1986,Capital inputs: Land,1.096690614
1986,Capital inputs: Inventories,1.163529148
1986,Labor inputs: Total,1.302421971
1986,Labor inputs: Hired labor,1.217588471
1986,Labor inputs: Self-employed and unpaid family,1.351986682
1986,Intermediate inputs: Total,0.783527642
1986,Intermediate inputs: Feed and seed,0.817821115
1986,Intermediate inputs: Energy,1.332455116
1986,Intermediate inputs: Fertilizer and lime,0.873601386
1986,Intermediate inputs: Pesticides,0.498022086
1986,Intermediate inputs: Purchased services,0.650422341
1986,Intermediate inputs: Other intermediate,0.749388144
1986,Total factor productivity (TFP),0.683381802
1987,Total agricultural output,0.680513283
1987,Livestock and products output: Total 1/,0.713911903
1987,Livestock and products output: Meat animals,0.866669739
1987,Livestock and products output: Dairy,0.675240385
1987,Livestock and products output: Poultry and eggs,0.49614112
1987,Crops output: Total,0.675603565
1987,Crops output: Food grains,0.927913702
1987,Crops output: Feed crops,0.710509068
1987,Crops output: Oil crops,0.504622301
1987,Crops output: Vegetables and melons,0.939510246
1987,Crops output: Fruits and nuts,0.694177552
1987,Crops output: Other crops 2/,0.673273556
1987,Farm-related output 3/,0.593874155
1987,Farm inputs: Total ,0.970064917
1987,Capital inputs: Total,1.111125854
1987,Capital inputs: Durable equipment,0.939887467
1987,Capital inputs: Service buildings,1.514837678
1987,Capital inputs: Land,1.090946156
1987,Capital inputs: Inventories,1.134849806
1987,Labor inputs: Total,1.325508787
1987,Labor inputs: Hired labor,1.24249474
1987,Labor inputs: Self-employed and unpaid family,1.373888942
1987,Intermediate inputs: Total,0.777766037
1987,Intermediate inputs: Feed and seed,0.796972002
1987,Intermediate inputs: Energy,1.48570522
1987,Intermediate inputs: Fertilizer and lime,0.70035069
1987,Intermediate inputs: Pesticides,0.511860521
1987,Intermediate inputs: Purchased services,0.686731945
1987,Intermediate inputs: Other intermediate,0.693365712
1987,Total factor productivity (TFP),0.701513137
1988,Total agricultural output,0.641870637
1988,Livestock and products output: Total 1/,0.716318385
1988,Livestock and products output: Meat animals,0.847239345
1988,Livestock and products output: Dairy,0.686697115
1988,Livestock and products output: Poultry and eggs,0.506073497
1988,Crops output: Total,0.595576963
1988,Crops output: Food grains,0.844091462
1988,Crops output: Feed crops,0.529479816
1988,Crops output: Oil crops,0.418169809
1988,Crops output: Vegetables and melons,0.896692509
1988,Crops output: Fruits and nuts,0.74496967
1988,Crops output: Other crops 2/,0.710714201
1988,Farm-related output 3/,0.697186174
1988,Farm inputs: Total ,0.955002761
1988,Capital inputs: Total,1.084696234
1988,Capital inputs: Durable equipment,0.890909975
1988,Capital inputs: Service buildings,1.520430217
1988,Capital inputs: Land,1.08361844
1988,Capital inputs: Inventories,1.094702265
1988,Labor inputs: Total,1.341933247
1988,Labor inputs: Hired labor,1.282830053
1988,Labor inputs: Self-employed and unpaid family,1.375402578
1988,Intermediate inputs: Total,0.762576827
1988,Intermediate inputs: Feed and seed,0.783304208
1988,Intermediate inputs: Energy,1.485638153
1988,Intermediate inputs: Fertilizer and lime,0.618864575
1988,Intermediate inputs: Pesticides,0.443447491
1988,Intermediate inputs: Purchased services,0.699675271
1988,Intermediate inputs: Other intermediate,0.729191338
1988,Total factor productivity (TFP),0.672113907
1989,Total agricultural output,0.693844736
1989,Livestock and products output: Total 1/,0.721164988
1989,Livestock and products output: Meat animals,0.846705407
1989,Livestock and products output: Dairy,0.681894231
1989,Livestock and products output: Poultry and eggs,0.528649139
1989,Crops output: Total,0.678890847
1989,Crops output: Food grains,0.925867163
1989,Crops output: Feed crops,0.712052865
1989,Crops output: Oil crops,0.500684137
1989,Crops output: Vegetables and melons,0.925138161
1989,Crops output: Fruits and nuts,0.711902636
1989,Crops output: Other crops 2/,0.681011501
1989,Farm-related output 3/,0.739197282
1989,Farm inputs: Total ,0.943290035
1989,Capital inputs: Total,1.062830018
1989,Capital inputs: Durable equipment,0.852259406
1989,Capital inputs: Service buildings,1.547716772
1989,Capital inputs: Land,1.075510245
1989,Capital inputs: Inventories,1.031200031
1989,Labor inputs: Total,1.297697112
1989,Labor inputs: Hired labor,1.203247875
1989,Labor inputs: Self-employed and unpaid family,1.35329492
1989,Intermediate inputs: Total,0.76298456
1989,Intermediate inputs: Feed and seed,0.747975645
1989,Intermediate inputs: Energy,1.473062408
1989,Intermediate inputs: Fertilizer and lime,0.584073645
1989,Intermediate inputs: Pesticides,0.520591635
1989,Intermediate inputs: Purchased services,0.754532786
1989,Intermediate inputs: Other intermediate,0.694210284
1989,Total factor productivity (TFP),0.735558216
1990,Total agricultural output,0.727161808
1990,Livestock and products output: Total 1/,0.73852092
1990,Livestock and products output: Meat animals,0.852923419
1990,Livestock and products output: Dairy,0.700600962
1990,Livestock and products output: Poultry and eggs,0.564067596
1990,Crops output: Total,0.725726419
1990,Crops output: Food grains,1.194255899
1990,Crops output: Feed crops,0.733878613
1990,Crops output: Oil crops,0.503772262
1990,Crops output: Vegetables and melons,0.95558839
1990,Crops output: Fruits and nuts,0.700364169
1990,Crops output: Other crops 2/,0.780493271
1990,Farm-related output 3/,0.750615543
1990,Farm inputs: Total ,0.957850612
1990,Capital inputs: Total,1.048808066
1990,Capital inputs: Durable equipment,0.826370273
1990,Capital inputs: Service buildings,1.501150345
1990,Capital inputs: Land,1.067814919
1990,Capital inputs: Inventories,1.079921826
1990,Labor inputs: Total,1.212991419
1990,Labor inputs: Hired labor,1.197514407
1990,Labor inputs: Self-employed and unpaid family,1.219571077
1990,Intermediate inputs: Total,0.81565695
1990,Intermediate inputs: Feed and seed,0.809731569
1990,Intermediate inputs: Energy,1.467498394
1990,Intermediate inputs: Fertilizer and lime,0.749955607
1990,Intermediate inputs: Pesticides,0.53242924
1990,Intermediate inputs: Purchased services,0.774514662
1990,Intermediate inputs: Other intermediate,0.701031291
1990,Total factor productivity (TFP),0.759159935
1991,Total agricultural output,0.730012742
1991,Livestock and products output: Total 1/,0.757841908
1991,Livestock and products output: Meat animals,0.881523244
1991,Livestock and products output: Dairy,0.700591346
1991,Livestock and products output: Poultry and eggs,0.588577478
1991,Crops output: Total,0.718621334
1991,Crops output: Food grains,0.91122716
1991,Crops output: Feed crops,0.716874866
1991,Crops output: Oil crops,0.54428688
1991,Crops output: Vegetables and melons,1.002948279
1991,Crops output: Fruits and nuts,0.69234151
1991,Crops output: Other crops 2/,0.825199188
1991,Farm-related output 3/,0.740456451
1991,Farm inputs: Total ,0.956447461
1991,Capital inputs: Total,1.040526726
1991,Capital inputs: Durable equipment,0.808182312
1991,Capital inputs: Service buildings,1.488136433
